Site,Status,Tempo,Elemento_OK,Hora
Teste 404,Erro,,False,2025-08-21 12:18:50
Teste 500,Erro,,False,2025-08-21 12:18:51
Teste 301,200,0.1978011131286621,False,2025-08-21 12:18:51
Teste 403,Erro,,False,2025-08-21 12:18:51
Google,200,0.20836853981018066,False,2025-08-21 12:19:51
LinkedIn,200,0.36878299713134766,False,2025-08-21 12:19:57
Amazon,503,0.18722152709960938,True,2025-08-21 12:20:04
Globo,200,0.34259772300720215,False,2025-08-21 12:20:05
Teste 404,Erro,,False,2025-08-21 12:20:16
Teste 500,Erro,,False,2025-08-21 12:20:16
Teste 301,200,0.19881296157836914,False,2025-08-21 12:20:16
Teste 403,Erro,,False,2025-08-21 12:20:17
Google,200,0.25431156158447266,False,2025-08-21 12:21:17
LinkedIn,200,0.31964683532714844,False,2025-08-21 12:21:23
Amazon,503,0.18625473976135254,True,2025-08-21 12:21:30
Globo,200,0.11856293678283691,False,2025-08-21 12:21:31
Teste 404,Erro,,False,2025-08-21 12:21:41
Teste 500,Erro,,False,2025-08-21 12:21:42
Teste 301,200,0.19533610343933105,False,2025-08-21 12:21:42
Teste 403,Erro,,False,2025-08-21 12:21:42
Google,200,0.19731378555297852,False,2025-08-21 12:22:43
LinkedIn,200,0.3298158645629883,False,2025-08-21 12:22:49
Amazon,503,0.2260596752166748,True,2025-08-21 12:22:55
Globo,200,0.3257572650909424,False,2025-08-21 12:22:57
Teste 404,Erro,,False,2025-08-21 12:23:07
Teste 500,Erro,,False,2025-08-21 12:23:07
Teste 301,200,0.2015678882598877,False,2025-08-21 12:23:07
Teste 403,Erro,,False,2025-08-21 12:23:08
Google,200,0.19674921035766602,False,2025-08-21 12:24:08
LinkedIn,200,0.3609275817871094,False,2025-08-21 12:24:14
Amazon,503,0.5217270851135254,True,2025-08-21 12:24:20
Globo,200,0.13562250137329102,False,2025-08-21 12:24:23
Teste 404,Erro,,False,2025-08-21 12:24:32
Teste 500,Erro,,False,2025-08-21 12:24:33
Teste 301,200,0.21924304962158203,False,2025-08-21 12:24:33
Teste 403,Erro,,False,2025-08-21 12:24:33
Google,200,0.19890332221984863,False,2025-08-21 12:25:34
LinkedIn,200,0.4444246292114258,False,2025-08-21 12:25:40
Amazon,503,0.4114060401916504,True,2025-08-21 12:25:46
Globo,200,0.15765762329101562,False,2025-08-21 12:25:49
Teste 404,Erro,,False,2025-08-21 12:25:59
Teste 500,Erro,,False,2025-08-21 12:26:00
Teste 301,200,0.21186304092407227,False,2025-08-21 12:26:00
Teste 403,Erro,,False,2025-08-21 12:26:00
Google,200,0.2564716339111328,False,2025-08-21 12:27:01
LinkedIn,200,0.37522125244140625,False,2025-08-21 12:27:07
Amazon,503,0.19824433326721191,True,2025-08-21 12:27:13
Globo,200,0.18988776206970215,False,2025-08-21 12:27:15
Teste 404,Erro,,False,2025-08-21 12:27:24
Teste 500,Erro,,False,2025-08-21 12:27:25
Teste 301,200,0.19685673713684082,False,2025-08-21 12:27:25
Teste 403,Erro,,False,2025-08-21 12:27:25
Google,200,0.1752011775970459,False,2025-08-21 12:28:26
LinkedIn,200,0.34694910049438477,False,2025-08-21 12:28:32
Amazon,503,0.1874103546142578,True,2025-08-21 12:28:38
Globo,200,0.1136314868927002,False,2025-08-21 12:28:40
Teste 404,Erro,,False,2025-08-21 12:28:49
Teste 500,Erro,,False,2025-08-21 12:28:50
Teste 301,200,0.1979227066040039,False,2025-08-21 12:28:50
Teste 403,Erro,,False,2025-08-21 12:28:50
Google,200,0.1928119659423828,False,2025-08-21 12:29:51
LinkedIn,200,0.4047985076904297,False,2025-08-21 12:29:57
Amazon,503,0.21257781982421875,True,2025-08-21 12:30:03
Globo,200,0.12188196182250977,False,2025-08-21 12:30:05
